ArticleTitle,Question,Answer,question_keyword,rule_label,manually_label,Correctly_labelled
Abraham_Lincoln,How many long was Lincoln's formal education?,18 months,how,Objective,Objective,1
Abraham_Lincoln,When did Lincoln begin his political career?,1832,when,Objective,Objective,1
Abraham_Lincoln,What did The Legal Tender Act of 1862 establish?,"the United States Note, the first paper currency in United States history",what,Objective,Objective,1
Abraham_Lincoln,Who suggested Lincoln grow a beard?,11-year-old Grace Bedell,who,Objective,Objective,1
Abraham_Lincoln,When did the Gettysburg address argue that America was born?,1776,when,Objective,Objective,1
Abraham_Lincoln,Which county was Lincoln born in?,Hardin County,which,Objective,Objective,1
Abraham_Lincoln,When did Lincoln first serve as President?,"March 4, 1861",when,Objective,Objective,1
Abraham_Lincoln,Who assassinated Lincoln?,John Wilkes Booth,who,Objective,Objective,1
Abraham_Lincoln,Who was the general in charge at the Battle of Antietam?,General McClellan,who,Objective,Objective,1
Abraham_Lincoln,Why did Lincoln issue the Emancipation Proclamation?,To free slaves,why,Descriptive,Descriptive,1
Abraham_Lincoln,How old was Lincoln in 1816?,,how,Objective,Objective,1
Abraham_Lincoln,When was the first photgraph of lincoln taken?,,when,Objective,Objective,1
Abraham_Lincoln,How long was Lincoln's legal Career?,,how,Objective,Objective,1
Abraham_Lincoln,What trail did Lincoln use a Farmers' Almanac in?,,what,Objective,Objective,1
Alessandro_Volta,Volta became professor of physics in the Como high school in what year?,,what,Objective,Objective,1
Alessandro_Volta,What ac phaenomenis inde pendentibus?,,what,Objective,Objective,1
Alessandro_Volta,What may be called Volta's Law of the electrochemical series?,,what,Objective,Objective,1
Alessandro_Volta,When did he become professor?,,when,Objective,Objective,1
Alessandro_Volta,What did Alessandro Volta publish in 1800?,,what,Objective,Objective,1
Alessandro_Volta,What happened with $ its invention?,,what,Objective,Descriptive,0
Alessandro_Volta,What happened in 1800?,,what,Objective,Descriptive,0
Amedeo_Avogadro,What was an Italian savant?,,what,Objective,Objective,1
Amedeo_Avogadro,Who is most noted for his contributions to the theory of molarity and molecular weight?,Amedeo Avogadro,who,Objective,Objective,1
Amedeo_Avogadro,Who graduated in ecclesiastical law at the early age of 20 and began to practice?,Amedeo Avogadro,who,Objective,Objective,1
Amedeo_Avogadro,When did he publish another memoria?,1821,when,Objective,Objective,1
Amedeo_Avogadro,When did he become a professor?,1820,when,Objective,Objective,1
Amedeo_Avogadro,"Who confirm that he sponsored and helped some Sardinian plotters who were organising a revolution in that island , stopped at the very last moment by the concession of Charles Albert 's statute ?",,who,Objective,Objective,1
Amedeo_Avogadro,What happened in french?,,what,Objective,Descriptive,0
Amedeo_Avogadro,What happened in 1833?,Avogadro had been recalled to Turin university,what,Objective,Descriptive,0
Anders_Celsius,Who determined the dependence of the boiling of water with atmospheric pressure?,Anders Celsius,who,Objective,Objective,1
Anders_Celsius,What is named after him?,The Celsius crater on the Moon,what,Objective,Objective,1
Anders_Celsius,When did he publish a collection?,1733,when,Objective,Objective,1
Anders_Celsius,Who was the first to perform and publish careful experiments aiming at the definition of an international temperature scale on scientific grounds ?,Anders Celsius,who,Objective,Objective,1
Anders_Celsius,What happened from 1730 to 1744?,He was professor of astronomy at Uppsala University,what,Objective,Descriptive,0
Anders_Celsius,What happened in 1745?,The scale was reversed,what,Objective,Descriptive,0
beetle,What are the three sections of a beetle?,"the head, the thorax, and the abdomen",what,Objective,Objective,1
beetle,Which defense mechanism uses colour or shape to deceive potential enemies?,mimicry,which,Objective,Objective,1
beetle,Which type of beetle is a pest of potato plants?,Colorado potato beetle,which,Objective,Objective,1
beetle,How can beetle larvae be differentiated from other insect larvae?,"their hardened, often darkened head, the presence of chewing mouthparts, and spiracles along the sides of the body",how,Descriptive,Descriptive,1
beetle,What do beetles eat?,"Some are generalists, eating both plants and animals. Other beetles are highly specialised in their diet.",what,Objective,Objective,1
beetle,What are the similarities between beetles and grasshoppers?,mouthparts,what,Objective,Descriptive,0
beetle,How many species of beetles are there?,"3,50,000",how,Objective,Objective,1
beetle,When are sperm cells transferred to the female?,during pairing,when,Objective,Objective,1
beetle,What is the study of beetles called?,coleopterology,what,Objective,Objective,1
beetle,What are prey of various animals including birds and mammals?,Beetles.,what,Objective,Objective,1
beetle,What was given by Aristotle for the hardened shield like forewings?,"The name ""Coleoptera"".",what,Objective,Objective,1
beetle,Who or what vary greatly in form within the coleoptera?,Antennae.,who,Objective,Objective,1
beetle,What happened on plants and fungi?,They are food to beetles.,what,Objective,Descriptive,0
Calvin_Coolidge,When did he drop John from his name?,upon graduating from college,when,Objective,Objective,1
Calvin_Coolidge,When did Coolidge meet and marry Grace Anna Goodhue?,1905,when,Objective,Objective,1
Calvin_Coolidge,What period of rapid economic growth did the United States experience during Coolidge's presidency?,the Roaring Twenties,what,Objective,Objective,1
Calvin_Coolidge,What did Coolidge do after graduating from Amherst?,"Coolidge moved to Northampton, MassachuS08_setts",what,Objective,Descriptive,0
Calvin_Coolidge,Of what state was Coolidge governor?,MassachuS08_setts,what,Objective,Objective,1
Calvin_Coolidge,Who appointed Harlan Fiske Stone to the Supreme Court?,Coolidge,who,Objective,Objective,1
Calvin_Coolidge,When was Coolidge born?,July 4 1872,when,Objective,Objective,1
Calvin_Coolidge,Where did Coolidge's grandfather had government offices?,Plymouth,where,Objective,Objective,1
Calvin_Coolidge,Which state were Coolidge born in?,"Plymouth, Windsor County, Vermont",which,Objective,Objective,1
Calvin_Coolidge,What caused Calvin Jr.'s death?,heart attack,what,Objective,Descriptive,0
Calvin_Coolidge,What year did Coolidge open his own law office?,1898,what,Objective,Objective,1
Calvin_Coolidge,What fraternity was Coolidge a member of?,Phi Gamma Delta,what,Objective,Objective,1
Calvin_Coolidge,Why did Coolidge not attend law school?,It was too expensive,why,Descriptive,Descriptive,1
Calvin_Coolidge,What years were Coolidge's two sons born in?,1906 and 1908,what,Objective,Objective,1
Calvin_Coolidge,What thrust him into the national spotlight?,,what,Objective,Objective,1
Calvin_Coolidge,What to be born on the fourth of July?,,what,Objective,Objective,1
Calvin_Coolidge,Who was the elder of two children of John Calvin Sr and Victoria Coolidge?,,who,Objective,Objective,1
Calvin_Coolidge,Who or what placed as high as sixth in the voting?,,who,Objective,Objective,1
Calvin_Coolidge,What do well - received and he have in common?,,what,Objective,Objective,1
Calvin_Coolidge,What did Coolidge address in 1924?,,what,Objective,Objective,1
Calvin_Coolidge,What emigrated from Cambridge?,,what,Objective,Objective,1
Calvin_Coolidge,What graduated from Black?,,what,Objective,Objective,1
Calvin_Coolidge,What Retrieved on May?,,what,Objective,Objective,1
Calvin_Coolidge,When was Coolidge born?,,when,Objective,Objective,1
Calvin_Coolidge,What happened from tuberculosis?,,what,Objective,Descriptive,0
Calvin_Coolidge,"What happened from black river academy , vermont?",,what,Objective,Descriptive,0
Canada,What is one significant non-official language?,Chinese.,what,Objective,Objective,1
Canada,"In addition to Port Royal, where else did Samuel de Champlain establish a S08_settlement?",Quebec City,where,Objective,Objective,1
Canada,What was the Consitution Act formerly called?,The British North America Act.,what,Objective,Objective,1
Canada,Which countries established colonies in Canada?,France and Britain.,which,Objective,Objective,1
